Date,Close
2022-12-12,397.12640380859375
2022-12-13,400.1325988769531
2022-12-14,397.5743408203125
2022-12-15,387.8489990234375
2022-12-16,383.2699890136719
2022-12-19,380.0199890136719
2022-12-20,380.5400085449219
2022-12-21,386.2300109863281
2022-12-22,380.7200012207031
2022-12-23,382.9100036621094
2022-12-27,381.3999938964844
2022-12-28,376.6600036621094
2022-12-29,383.44000244140625
2022-12-30,382.42999267578125
2023-01-03,380.82000732421875
2023-01-04,383.760009765625
2023-01-05,379.3800048828125
2023-01-06,388.0799865722656
2023-01-09,387.8599853515625
2023-01-10,390.5799865722656
